bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,16117478-1079-454b-8288-9780402d8297,1,,,,3857262,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Korea,791,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 37641, 'name': 'Seung-Gyu Kim'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40672, 'name': 'Moon-Hwan Kim'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 40564, 'name': 'Kyung-Won Kwon'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 5604, 'name': 'Young-Gwon Kim'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 40538, 'name': 'Jin-Su Kim'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5618, 'name': 'Woo-Young Jung'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 23763, 'name': 'In-Beom Hwang'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 22740, 'name': 'Kang-In Lee'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 5623, 'name': 'Jae-Sung Lee'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 40542, 'name': 'Gue-Sung Cho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",South Korea,791,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,e9323325-8428-4595-af6f-33071a7a0c64,2,,,,3857262,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Korea,791,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 32975, 'name': 'Diogo Meireles Costa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 16028, 'name': 'José Diogo Dalot Teixeira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 143854, 'name': 'António João Pereira Albuquerque Tavares Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 9927, 'name': 'Rúben Diogo Da Silva Neves'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 40874, 'name': 'Matheus Luiz Nunes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 34639, 'name': 'Vitor Machado Ferreira'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 10868, 'name': 'Ricardo Jorge Luz Horta'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 4272, 'name': 'João Mário Naval da Costa Eduardo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Portugal,780,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,f3f9665c-58ed-42a9-804c-685d0830de9d,3,,,,3857262,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Korea,791,['1f44b602-120f-4f08-858f-0113780cf4f8'],0,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1f44b602-120f-4f08-858f-0113780cf4f8,4,,,,3857262,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Korea,791,['f3f9665c-58ed-42a9-804c-685d0830de9d'],0,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,e6db9d66-8a2e-4a39-9487-fe60c8e18b0d,1711,,,,3857262,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,92,Portugal,780,['a7d77fc7-0ab3-40fc-ad7a-37d230fbafa1'],0,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,a7d77fc7-0ab3-40fc-ad7a-37d230fbafa1,1712,,,,3857262,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,92,Portugal,780,['e6db9d66-8a2e-4a39-9487-fe60c8e18b0d'],0,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.109694,,,,,,,,,,3d19925a-8141-4ad2-ad53-91cea24a09bb,5,,,"[60.0, 40.0]",3857262,0,,,,,-2.6408527,,Right Foot,,,,"[39.9, 29.0]",,Ground Pass,,22.913097,,,,Woo-Young Jung,5618.0,,,,,Kick Off,1,From Kick Off,Gue-Sung Cho,40542.0,Center Forward,2,South Korea,791,['fb4d4728-4dc1-4efb-b3cb-56c5d9618cd8'],0,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.462,Pass,
,,,,,,,,,,,,,,,,,1.35387,,,,,,,,,,3455b232-5d3c-4f23-aa3b-91fc137cb686,8,,,"[39.7, 30.0]",3857262,0,,,,,-2.101205,,Right Foot,,,,"[31.9, 16.7]",,Ground Pass,,15.418495,,,,Young-Gwon Kim,5604.0,,,,,,1,From Kick Off,Woo-Young Jung,5618.0,Center Defensive Midfield,2,South Korea,791,['af0e936f-8fff-4ade-9303-9433b08d1509'],2,,,,,,,,,,,,,,,,,South Korea,791,00:00:02.792,Pass,
,,,,,,,,,,,,,,,,,1.231468,,,,,,,,,,0463d1a8-19af-4031-8e1b-d6c1e22d75bf,11,,,"[37.4, 8.9]",3857262,0,,,,,-0.4039181,,Left Foot,,,,"[49.8, 3.6]",,Ground Pass,,13.485177,,,,Jin-Su Kim,40538.0,,,,,,1,From Kick Off,Young-Gwon Kim,5604.0,Left Center Back,2,South Korea,791,['f57670c5-697c-431d-9b64-62f3d2f08fb5'],8,,,,,,,,,,,,,,,,,South Korea,791,00:00:08.623,Pass,
,,,,,,,,,,,,,,,,,0.903953,,,,,,,,,,d60f881e-c627-422f-8b18-0d725c072437,15,,,"[42.1, 3.4]",3857262,0,,,,,3.122727,,Left Foot,,,,"[31.5, 3.6]",,Ground Pass,,10.601887,,,,Young-Gwon Kim,5604.0,,,,,,1,From Kick Off,Jin-Su Kim,40538.0,Left Back,2,South Korea,791,['34dd86e7-52fb-49bb-85d4-c74658639aaa'],11,,,,,,,,,,,,,,,,,South Korea,791,00:00:11.725,Pass,
