period,team,type,x_start,y_start,x_end,y_end
1,South Korea,Pass,60.0,40.0,39.9,29.0
1,South Korea,Pass,39.7,30.0,31.9,16.7
1,South Korea,Pass,37.4,8.9,49.8,3.6
1,South Korea,Pass,42.1,3.4,31.5,3.6
1,South Korea,Pass,30.6,4.1,57.7,11.7
1,South Korea,Pass,57.6,21.3,51.0,9.6
1,South Korea,Pass,62.1,10.3,69.4,31.1
1,South Korea,Pass,70.1,33.0,65.5,28.3
1,South Korea,Pass,65.1,29.3,64.7,37.9
1,South Korea,Pass,63.7,38.0,47.2,57.2
1,South Korea,Pass,48.1,59.3,52.1,70.1
1,South Korea,Pass,52.2,69.6,35.3,61.7
1,South Korea,Pass,33.9,59.4,36.7,8.9
1,South Korea,Pass,43.5,9.9,54.9,13.5
1,South Korea,Pass,55.3,14.9,45.2,6.2
1,South Korea,Pass,46.0,8.0,11.3,27.5
1,South Korea,Pass,14.5,28.3,20.4,6.4
1,South Korea,Pass,33.4,3.1,29.1,10.3
1,South Korea,Pass,28.3,12.8,39.2,2.3
1,South Korea,Pass,39.5,2.3,83.3,12.2
1,South Korea,Pass,93.5,28.2,113.0,70.8
1,South Korea,Pass,112.3,71.3,99.4,72.2
1,South Korea,Pass,98.0,72.3,91.5,66.0
1,South Korea,Pass,92.0,67.5,102.2,64.0
1,Portugal,Pass,17.5,16.1,24.8,17.3
1,Portugal,Pass,19.3,16.6,34.6,69.1
1,Portugal,Pass,30.9,69.8,21.7,31.2
1,Portugal,Pass,27.6,27.4,33.0,19.1
1,Portugal,Pass,36.8,16.6,46.8,10.5
1,Portugal,Pass,46.9,9.6,35.0,13.0
1,Portugal,Pass,32.8,14.2,33.2,46.7
1,Portugal,Pass,38.1,50.8,33.7,74.7
1,Portugal,Pass,36.8,74.9,44.7,59.7
1,Portugal,Pass,43.8,57.8,42.8,28.9
1,Portugal,Pass,56.1,19.4,77.0,7.9
1,Portugal,Pass,77.3,6.5,76.6,17.0
1,Portugal,Pass,75.7,15.8,62.9,9.1
1,Portugal,Pass,61.5,8.6,43.5,13.8
1,Portugal,Pass,42.8,15.1,38.6,45.0
1,Portugal,Pass,42.8,53.7,48.9,25.6
1,Portugal,Pass,50.1,22.4,41.0,30.3
1,Portugal,Pass,39.9,31.7,49.7,22.6
1,Portugal,Pass,57.0,14.1,40.0,21.5
1,Portugal,Pass,39.1,22.5,50.4,13.0
1,Portugal,Pass,53.6,12.0,70.8,6.4
1,Portugal,Pass,66.2,10.6,58.0,12.3
1,Portugal,Pass,45.5,12.6,36.0,24.5
1,Portugal,Pass,31.6,29.4,35.3,68.3
1,Portugal,Pass,44.7,75.7,53.2,76.7
1,Portugal,Pass,58.4,80.0,107.9,76.3
1,Portugal,Pass,112.3,76.3,104.7,76.5
1,Portugal,Pass,92.1,75.3,74.3,43.6
1,Portugal,Pass,77.0,40.3,93.5,12.4
1,Portugal,Pass,93.1,10.0,92.7,20.1
1,Portugal,Pass,89.2,13.3,68.3,41.3
1,Portugal,Pass,65.8,46.0,89.9,76.7
1,Portugal,Pass,91.3,77.1,115.9,37.5
1,South Korea,Pass,10.1,38.8,33.3,7.2
1,South Korea,Pass,33.4,7.3,40.2,3.4
1,South Korea,Pass,35.5,4.1,15.1,9.9
1,South Korea,Pass,17.3,11.7,5.3,37.4
1,South Korea,Pass,6.8,43.9,11.7,71.3
1,South Korea,Pass,12.2,71.7,7.1,45.7
1,South Korea,Pass,24.8,24.6,28.0,28.3
1,South Korea,Pass,29.7,28.6,73.6,44.2
1,South Korea,Pass,74.7,45.1,120.0,56.2
1,Portugal,Pass,7.0,36.1,29.0,52.3
1,Portugal,Pass,29.1,51.9,38.5,11.9
1,Portugal,Pass,48.3,8.4,50.5,18.3
1,Portugal,Pass,47.7,16.2,45.5,8.4
1,Portugal,Pass,43.7,10.6,22.1,24.2
1,Portugal,Pass,20.7,27.1,27.7,60.4
